Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Luxury Goods,Retail Value RSP,USD million,Current Prices,798465.6,853684.6,902623.2,879691.8,907419.0,954721.2,1022368.4,1089935.1,1164387.4,1243893.0,1333522.7,1.396766616
World,Sub 1: Designer Apparel and Footwear ,Retail Value RSP,USD million,Current Prices,123222.2,127565.2,130142.7,121502.6,120403.4,123129.4,128208.5,133127.4,138170.1,143423.9,149036.5,1.210405476
World,Sub 1: Fine Wines/Champagne or Spirits,Retail Value RSP,USD million,Current Prices,101358.8,93527.0,86258.3,82949.4,86682.8,93167.5,99598.6,105304.1,111910.9,118672.3,125737.4,1.349584351
World,Sub 1: Luxury Cars,Retail Value RSP,USD million,Current Prices,354808.8,400404.8,446878.3,447542.1,473099.4,505668.0,551906.1,598143.9,649129.1,704651.0,767335.0,1.517467983
World,Sub 1: Luxury Eyewear,Retail Value RSP,USD million,Current Prices,19329.1,20104.3,20600.8,19644.5,19652.6,20490.6,21451.0,22554.9,23761.4,25044.9,26434.8,1.290093994
World,Sub 1: Luxury Hotels (5-star plus),Retail Value RSP,USD million,Current Prices,45983.9,50498.0,51043.5,49593.6,50136.1,51057.5,53842.2,56800.1,60238.2,63376.9,66873.7,1.309772316
World,Sub 1: Luxury Jewellery,Retail Value RSP,USD million,Current Prices,40655.3,42987.6,44484.0,41449.8,40975.6,41756.0,43065.0,44506.6,46149.3,47944.8,49916.8,1.195440176
World,Sub 1: Luxury Leather Goods,Retail Value RSP,USD million,Current Prices,42686.0,45762.7,48679.8,47161.4,47839.3,49192.7,51219.8,53327.7,55604.5,58017.1,60550.5,1.230883851
World,Sub 1: Luxury Portable Electronics,Retail Value RSP,USD million,Current Prices,1335.5,1136.7,1102.1,1051.4,920.2,891.1,936.2,1040.9,1168.2,1314.2,1445.0,1.621591292
World,Sub 1: Luxury Timepieces,Retail Value RSP,USD million,Current Prices,30725.4,32105.9,32747.0,30508.3,28439.4,28234.2,28782.4,29574.1,30457.4,31329.1,32322.9,1.144813737
World,Sub 1: Luxury Writing and Stationery,Retail Value RSP,USD million,Current Prices,1609.0,1647.4,1672.2,1498.8,1473.1,1502.2,1546.3,1590.6,1640.1,1694.0,1754.0,1.167620823
